HDR,ROLLING SYSTEM DEMAND
VD,20201014000000,23408
VD,20201014000500,23484
VD,20201014001000,23431
VD,20201014001500,23364
VD,20201014002000,23404
VD,20201014002500,23390
VD,20201014003000,23419
VD,20201014003500,23516
VD,20201014004000,23524
VD,20201014004500,23534
VD,20201014005000,23625
VD,20201014005500,23674
VD,20201014010000,23735
VD,20201014010500,23812
VD,20201014011000,23771
VD,20201014011500,23590
VD,20201014012000,23350
VD,20201014012500,23367
VD,20201014013000,23359
VD,20201014013500,23368
VD,20201014014000,23290
VD,20201014014500,23259
VD,20201014015000,23213
VD,20201014015500,23154
VD,20201014020000,23084
VD,20201014020500,22908
VD,20201014021000,22854
VD,20201014021500,22784
VD,20201014022000,22760
VD,20201014022500,22655
VD,20201014023000,22587
VD,20201014023500,22559
VD,20201014024000,22564
VD,20201014024500,22597
VD,20201014025000,22663
VD,20201014025500,22684
VD,20201014030000,22709
VD,20201014030500,22554
VD,20201014031000,22548
VD,20201014031500,22548
VD,20201014032000,22577
VD,20201014032500,22600
VD,20201014033000,22554
VD,20201014033500,22561
VD,20201014034000,22582
VD,20201014034500,22599
VD,20201014035000,22597
VD,20201014035500,22608
VD,20201014040000,22656
VD,20201014040500,22924
VD,20201014041000,23012
VD,20201014041500,23082
VD,20201014042000,23183
VD,20201014042500,23238
VD,20201014043000,23286
VD,20201014043500,23437
VD,20201014044000,23619
VD,20201014044500,23854
VD,20201014045000,24078
VD,20201014045500,24306
VD,20201014050000,24655
VD,20201014050500,25018
VD,20201014051000,25698
VD,20201014051500,26258
VD,20201014052000,26659
VD,20201014052500,26950
VD,20201014053000,27213
VD,20201014053500,27464
VD,20201014054000,27965
VD,20201014054500,28471
VD,20201014055000,29171
VD,20201014055500,29827
VD,20201014060000,30421
VD,20201014060500,30832
VD,20201014061000,31832
VD,20201014061500,32572
VD,20201014062000,32804
VD,20201014062500,33100
VD,20201014063000,33244
VD,20201014063500,33399
VD,20201014064000,33828
VD,20201014064500,34104
VD,20201014065000,34166
VD,20201014065500,34217
VD,20201014070000,34494
VD,20201014070500,34525
VD,20201014071000,34549
VD,20201014071500,34594
VD,20201014072000,34669
VD,20201014072500,34576
VD,20201014073000,34670
VD,20201014073500,34535
VD,20201014074000,34491
VD,20201014074500,34481
VD,20201014075000,34349
VD,20201014075500,34400
VD,20201014080000,34529
VD,20201014080500,34965
VD,20201014081000,35070
VD,20201014081500,35049
VD,20201014082000,35151
VD,20201014082500,35175
VD,20201014083000,35068
VD,20201014083500,35059
VD,20201014084000,34946
VD,20201014084500,34961
VD,20201014085000,34884
VD,20201014085500,34689
VD,20201014090000,34570
VD,20201014090500,34292
VD,20201014091000,34313
VD,20201014091500,34063
VD,20201014092000,33825
VD,20201014092500,33836
VD,20201014093000,33854
VD,20201014093500,33864
VD,20201014094000,33816
VD,20201014094500,33701
VD,20201014095000,33600
VD,20201014095500,33532
VD,20201014100000,33438
VD,20201014100500,33588
VD,20201014101000,33783
VD,20201014101500,33719
VD,20201014102000,33620
VD,20201014102500,33557
VD,20201014103000,33520
VD,20201014103500,33393
VD,20201014104000,33276
VD,20201014104500,33234
VD,20201014105000,33193
VD,20201014105500,33081
VD,20201014110000,33036
VD,20201014110500,33093
VD,20201014111000,33141
VD,20201014111500,32952
VD,20201014112000,32914
VD,20201014112500,32888
VD,20201014113000,32810
VD,20201014113500,33046
VD,20201014114000,33059
VD,20201014114500,33151
VD,20201014115000,33176
VD,20201014115500,33059
VD,20201014120000,33015
VD,20201014120500,33146
VD,20201014121000,32365
VD,20201014121500,32287
VD,20201014122000,32218
VD,20201014122500,32209
VD,20201014123000,32770
VD,20201014123500,32860
VD,20201014124000,32914
VD,20201014124500,33097
VD,20201014125000,33109
VD,20201014125500,33075
VD,20201014130000,32976
VD,20201014130500,33063
VD,20201014131000,33055
VD,20201014131500,33017
VD,20201014132000,33103
VD,20201014132500,33043
VD,20201014133000,32982
VD,20201014133500,33017
VD,20201014134000,32976
VD,20201014134500,33027
VD,20201014135000,33131
VD,20201014135500,33248
VD,20201014140000,33220
VD,20201014140500,33253
VD,20201014141000,33117
VD,20201014141500,33153
VD,20201014142000,33265
VD,20201014142500,33252
VD,20201014143000,33395
VD,20201014143500,33672
VD,20201014144000,33853
VD,20201014144500,34145
VD,20201014145000,34436
VD,20201014145500,34467
VD,20201014150000,34510
VD,20201014150500,34635
